com_name,com_addr,com_area,com_class,com_trade,com_size,job_name,job_exp,job_edu,job_class,job_keyword,job_pay,job_info,postdate
上海君协光电科技发展有限公司,四川省成都市锦江区东大街芷泉段68号时代8号大厦3910室,成都-锦江区,民营公司,"仪器仪表/工业自动化,航天/航空",50-150人,算法工程师,2年经验,硕士,算法工程师,信道编码|载波|算法,1.2-1.6万/月,,04-10发布
成都正信圆通科技有限公司,成都市高新区天府大道北段1480号孵化园,成都,民营公司,通信/电信/网络设备,少于50人,算法工程师(职位编号：CDZX003),1年经验,本科,无线通信工程师,通信|数字信号处理,2-2.5万/月,,04-10发布
成都柯尼特科技有限公司,高新西区西芯大道6号,成都,民营公司,医疗设备/器械,150-500人,算法工程师,无工作经验,本科,算法工程师,算法,0.6-1万/月,工作职责：|1、负责计算机视觉图形图像算法研究  |2、负责研发产品相关算法实现  |3、负责有关技术方案、文档的编写和代码测试  |4、根据具体要求，承担开发任务，按计划完成任务目标  |5、维护现有算法代码，不断改进优化  |6、配合团队完成软件系统的需求分析和设计  |任职要求  |1、数学、计算机相关专业本科及以上学历；  |2、熟练使用VS开发平台、QT、OPENCV库；熟悉常用的机器学习算法；  |3、熟悉python、matlab者优先；  |4、有钻研精神，良好的团队协作能力；,04-10发布
上海赫千电子科技有限公司,天晖南街中航城市广场,成都-高新区,民营公司,"电子技术/半导体/集成电路,汽车及零配件",50-150人,算法工程师（智能驾驶AI）,,,算法工程师,,1.5-2.5万/月,岗位职责：|1、负责智驾深度学习、信息融合关键算法开发；|2、负责传智驾样车改装，包括传感器与车辆的集成、安装、调试等工作；|3、负责算法在不同硬件平台上的代码实现；|4、负责算法在实车及软/硬件在环仿真平台上的测试、优化和应用；|岗位要求：|1、硕士及以上，2年以上工作经验，计算机、应用数学、人工智能、自动化、机器人、汽车工程等相关专业|2.计算机/图像处理/车辆智能驾驶等相关专业领域的硕士及以上学历，并在智能驾驶、机器人、无人机等行业行为决策、路径规划及车辆控制算法1年以上开发经验；|3、熟悉智能驾驶软件系统架构，熟练使用Linux/Ubuntu开发平台；|4、熟悉Caffe、MxNet和TensorFlow等深度学习框架至少其中之一；|5、精通C/C++语言，有扎实的编程功底，掌握软件系统开发知识；|6、具有良好的团队合作精神，具有较强的责任心以及高效的沟通能力，具有较强的学习钻研能力。,
成都无糖信息技术有限公司,德商国际A座,成都-高新区,民营公司,计算机服务(系统、数据服务、维修),少于50人,机器学习算法工程师(职位编号：1),无工作经验,本科,算法工程师,机器学习|大数据|算法,0.8-1.6万/月,,04-10发布
成都佑勤网络科技有限公司,新光华街7航天科技大厦32楼,成都-锦江区,合资,"通信/电信/网络设备,计算机软件",少于50人,高级软件开发工程师（机器学习）,2年经验,本科,高级软件工程师,机器学习,10-15万/年,  |*  大规模文本类数据挖掘和机器学习算法的实现；|  |*  实现产品与项目的数据挖掘；|  |*  保持关注前沿进展，将前沿的机器学习/人工智能方法引入到项目实践中。|  |  |*  计算机、电子或通信相关专业本科以上学历，大学英语6级；|  |*  熟练掌握至少一门编程语言，例如java/scala/python/R等|  |*  2年以上机器学习的项目实际研发经验；|  |*  熟悉Spark生态相关技术；|  |*  掌握tensorflow/keras/Mahou等一种以上主流的深度学习框架技术；|  |*  有文本类独立训练模型、调优的工作和项目经验者优先；|  |*  具有良好的团队合作精神和沟通能力，有较强的独立工作能力和解决问题的能力；能吃苦耐劳，能承担较大的工作压力。|  |*  有大型项目基础及应用架构设计经验者优先。|  ,04-10发布
上海粱江通信系统股份有限公司,新光华街7号航天科技大厦43楼,成都-锦江区,民营公司,通信/电信运营、增值服务,50-150人,高级软件工程师（机器学习）,2年经验,本科,高级软件工程师,软件开发|人工智能|机器学习|数据挖掘,0.7-1.2万/月,岗位职责：|1、大规模文本类数据挖掘和机器学习算法的实现；|2、实现产品与项目的数据挖掘；|3、保持关注前沿进展，将前沿的机器学习/人工智能方法引入到项目实践中。|任职资格：|1、计算机、电子或通信相关专业本科以上学历，大学英语6级；|2、熟练掌握至少一门编程语言，例如java/scala/python/R等|3、2年以上机器学习的项目实际研发经验；|4、熟悉Spark生态相关技术；|5、掌握tensorflow/keras/Mahou等一种以上主流的深度学习框架技术；|6、有文本类独立训练模型、调优的工作和项目经验者优先；|7、具有良好的团队合作精神和沟通能力，有较强的独立工作能力和解决问题的能力；能吃苦耐劳，能承担较大的工作压力。|                                                |8、有大型项目基础及应用架构设计经验者优先。,04-10发布
四川安迪科技实业有限公司,星狮路711号大合仓商馆1栋1单元3楼,成都-武侯区,民营公司,"通信/电信/网络设备,通信/电信运营、增值服务",50-150人,算法工程师,无工作经验,硕士,通信技术工程师,算法|信息安全|密码|编码|压缩|基带|信号处理|认知无线电,1-2万/月,,04-10发布
Nuance纽昂司软件技术（北京）有限公司,成都银泰中心 1199号 2栋21楼 纽昂司有限公司,成都-高新区,外资（欧美）,计算机软件,5000-10000人,人工智能实习生,无工作经验,本科,软件工程师,算法工程师|实习生|前沿的AI行业|高薪资,200元/天,"The China Research team at Nuance Communications, Inc. is seeking a skilled and motivated AI engineer. The successful candidate will have expert knowledge and hands-on experience of conversational AI technology in the next-generation personal assistant products (including smart assistants, smart speakers, intelligent robots, etc.).| |- Tools development|- ASR/NLU data analysis|- ASR/NLU performance testing and improvement validation|- ASR/NLU benchmark evaluation|- Perform tasks related to securing and keeping the products, tools, and processes that you are responsible for security|- Programming skills with at least one of following languages: Python/Java/Scala;|- Good knowledge of algorithms and data structures;|- Team player and an insatiable desire to learn new technologies;|- Unix/Linux|- Knowledge or experience of NLP and machine learning related technologies is preferred;|- Knowledge or experience of Knowledge Graph.|Education: MS degree candidates in Mathematics, Statistics, Electrical Engineering, Computer Engineering, Computer Science or equivalent| |- Bachelor:  ￥200/D|- Master: ￥250/D",04-10发布
奥泰医疗系统有限责任公司,四川省成都市高新西区天勤路201号,成都,民营公司,医疗设备/器械,150-500人,高级算法工程师,无工作经验,硕士,算法工程师,数学|物理|算法,1.5-2万/月,"职位设置目的：|负责MRI图像重建子系统/模块的架构设计和功能设计，包括优化图像重建子系统与系统其他模块间的数据交互方式，完成算法的设计、优化、验证和评估，与序列工程师、软件工程师、临床应用工程师密切合作，共同推进图像质量和扫描工作流性能的提升。此外，重建算法科学家应时刻保持对新技术的敏感性，并根据公司战略发展需要，完成相关前沿算法的预研并提交研究报告。|工作职责|序号 权重 职责名称 职责描述|1 30% 算法设计 图像重建子系统的优化设计和持续提升；|2 30% 算法实现 MRI图像重建算法的实现、优化和评估，并撰写相关技术文档；|3 30% 产品预研 关注前沿技术，并能进行有效筛选，完成相关预研；|4 10% 技术支持 为其他部门提供技术支持，解决工程实际问题。|任职要求|教育及经验要求|.图像处理/生物医学工程/信息工程/软件工程/数学/物理等相关专业，硕士或以上学位|专业知识和技能|""熟练C/C++、Matlab编程语言；|具备较强的数学能力，熟悉基本的信号处理和图像处理知识；|熟悉磁共振基本原理或有磁共振领域从业经验者更佳；|具备良好的英文读写能力，有良好的沟通表达能力和团队合作能力|PS：公司有班车往返市区 提供免费就餐|工作地址|成都市高新区(西区）天勤路201号",04-10发布
